기준_년분기_코드,자치구_코드,총_유동인구_수,월_평균_소득_금액,지출_총금액,운영_영업_개월_평균,폐업_영업_개월_평균,집객시설_수,점포_수,폐업_점포_수,공시지가
20244,11740,107151778,3292857,154000000000.0,104,49,2063,22160,679,4136539
20244,11710,120317054,3995905,371000000000.0,110,50,2810,40391,1072,5971945
20244,11680,144164615,4943841,2790000000000.0,102,49,4084,59857,1450,11922941
20244,11650,97166789,4912401,636000000000.0,116,54,2779,39141,799,7218511
20244,11620,126296711,2771927,119000000000.0,102,50,2255,20120,667,3986627
20244,11590,81823206,3454170,180000000000.0,112,56,1934,15618,451,4280654
20244,11560,108064439,3604887,1160000000000.0,111,52,2400,28002,751,4503093
20244,11545,35468459,2632285,76883732000.0,107,51,1320,17813,474,2930902
20244,11530,79273963,2994059,1850000000000.0,116,52,2192,23538,618,2900773
20244,11500,113675043,3160623,230000000000.0,93,48,2714,29101,937,2847634
20244,11470,76779968,3796034,108000000000.0,107,50,1762,18677,550,3399776
20244,11440,113763836,3832436,636000000000.0,92,49,2232,30352,876,6174009
20244,11410,95412427,3417706,136000000000.0,108,53,1909,14166,419,3771586
20244,11380,96539242,2912739,91375321000.0,104,51,2144,18678,616,3166812
20244,11350,92584226,3195375,127000000000.0,103,51,2586,18932,566,2559028
20244,11320,61436192,2785111,51850173000.0,107,50,1432,11717,331,2390374
20244,11305,91622385,2547460,61335248000.0,106,48,1843,13063,498,2642841
20244,11290,119072203,3281773,84947365000.0,106,53,2380,17354,527,3190132
20244,11260,93145934,2598785,69209559000.0,104,49,1840,16796,504,2983133
20244,11230,104589726,3030256,93038276000.0,118,54,1987,20454,547,3783838
20244,11215,91857304,3192971,99285146000.0,105,51,1602,19042,547,4371127
20244,11200,73277025,3734499,102000000000.0,105,55,1693,19392,498,4884766
20244,11170,59598747,3971498,257000000000.0,114,57,1504,18867,402,6812532
20244,11140,59119565,3513603,2860000000000.0,129,63,2071,37511,796,9949269
20244,11110,67784322,3725859,224000000000.0,131,63,2058,23649,448,5937878
20243,11740,106711348,3292857,58031357000.0,102,49,2063,22295,757,4136539
20243,11710,120227253,3995905,136000000000.0,108,50,2810,40554,1196,5971945
20243,11680,145164613,4943841,969000000000.0,101,49,4084,59894,1771,11922941
20243,11650,96514227,4912401,216000000000.0,114,54,2779,39219,951,7218511
20243,11620,125790783,2771927,42861991000.0,99,49,2255,20268,709,3986627
20243,11590,80721287,3454170,64945210000.0,111,56,1934,15701,524,4280654
20243,11560,107199139,3604887,96146088000.0,109,52,2400,28009,867,4503093
20243,11545,35725684,2632285,25883341000.0,105,51,1320,17934,574,2930902
20243,11530,78504355,2994059,618000000000.0,113,51,2192,23663,663,2900773
20243,11500,113248930,3160623,87942742000.0,91,48,2714,29236,1036,2847634
20243,11470,77403996,3796034,40012838000.0,105,50,1762,18799,631,3399776
20243,11440,112474602,3832436,482000000000.0,90,48,2232,30364,1111,6174009
20243,11410,94664889,3417706,46328681000.0,106,53,1909,14228,481,3771586
20243,11380,97237400,2912739,32972833000.0,102,51,2144,18810,722,3166812
20243,11350,92668429,3195375,44112600000.0,101,51,2586,19079,645,2559028
